dia,coef_regresion,p_value,trades
2017-03-03,1.8485692957816054e-05,0.424146417446136,60
2017-03-06,8.172579913628137e-06,0.28290937382023285,120
2017-03-07,7.670909513270773e-06,0.31729357020531135,93
2017-03-08,1.1213952770404921e-07,0.7149292546224885,541
2017-03-09,7.99217704187409e-06,0.0906661832854452,76
2017-03-10,-1.006108046425145e-05,0.10159921934702984,59
2017-03-13,1.234687865301339e-05,0.12551013426504523,86
2017-03-14,5.302463259345773e-06,0.3387727732041127,66
2017-03-15,2.4326102096998692e-05,0.06266650881148918,51
2017-03-16,1.9693517413980072e-05,0.004236316234706061,124
2017-03-17,5.11513078552648e-06,0.11021022801585134,117
2017-03-21,4.236631270527135e-05,4.2090224521758924e-05,218
2017-03-22,5.561373274663125e-06,0.07534581723842369,69
2017-03-23,-4.665834970362116e-07,0.8122221405198331,300
2017-03-24,1.3335847402332062e-05,0.4765230549095527,42
2017-03-27,6.436858773814196e-06,0.20220698502337345,59
2017-03-28,9.830830764821621e-06,0.023853035360754157,101
2017-03-29,1.5168105681569125e-05,0.0016525717287459998,130
2017-03-30,4.030288659339826e-06,0.29428735786324706,123
2017-03-31,4.679533848908362e-06,0.23879148521606694,51
2017-04-03,4.563494378176415e-05,0.3034597993553732,15
2017-04-04,2.7829943852884092e-05,0.006519398839483121,159
2017-04-05,7.450490947933407e-06,0.12772307052469536,105
2017-04-06,1.6529781379060824e-05,0.010177745407428294,114
2017-04-07,-5.919567807737929e-06,0.24563920914297194,103
2017-04-10,1.8908365296353203e-06,0.28403753442765556,150
2017-04-11,7.50231257116361e-07,0.7110973036728494,124
2017-04-12,8.52871006675005e-06,0.09141071651521859,112
2017-04-17,4.767115307216534e-05,0.004800133537077924,101
2017-04-18,3.004279289504812e-06,0.6017802697321513,91
2017-04-19,7.081320834941361e-06,0.08189301145816902,122
2017-04-20,6.317603890536226e-06,0.36047972300340325,48
2017-04-21,6.532295822032975e-06,0.518168127094893,35
2017-04-24,-3.937595783271305e-07,0.5636004618927757,89
2017-04-25,1.4322314174533875e-05,0.024149991108974166,108
2017-04-26,2.8369979086611674e-06,0.4755796953511767,126
2017-04-27,6.887188250229375e-07,0.6207014550268936,177
2017-04-28,4.213095554114119e-06,6.097631023291099e-13,101
2017-05-02,2.706639852774709e-06,0.5408288127265378,164
2017-05-03,7.058435635294887e-07,0.5558267659352023,95
2017-05-04,-2.433348793525055e-06,0.46211446016818736,132
2017-05-05,5.535928119009953e-06,0.2331260639982207,110
2017-05-08,5.420002511065838e-06,0.09324180467778966,156
2017-05-09,2.7956496922632975e-06,0.18514065286654086,97
2017-05-10,2.588336727168668e-06,0.3532144093594295,196
2017-05-11,9.880984186534854e-07,0.4726869080694158,135
2017-05-12,6.459811571661408e-07,0.2950469898393845,203
2017-05-15,3.3901732470634227e-06,0.029028442202202534,198
2017-05-16,1.317916222466222e-06,0.4276108608670365,251
2017-05-17,1.4311936046029401e-06,0.5818058139244169,74
2017-05-18,4.9527736417630105e-06,0.2678289535500653,89
2017-05-19,3.113967341726988e-07,0.9271151492407695,130
2017-05-22,4.0673722135307095e-07,0.8751639932521988,138
2017-05-23,1.1754101644199703e-05,0.007964621968507595,211
2017-05-24,9.705077714448011e-07,0.35649424705722765,113
2017-05-25,3.705110035811468e-06,0.38071817125165297,63
2017-05-26,6.879300179939548e-06,0.4430206411145424,42
2017-05-30,1.4210055675358617e-05,0.04583529630797911,88
2017-05-31,1.5813256369896786e-06,1.0499151830563122e-06,356
2017-06-01,2.353349890612262e-07,0.5326127184085463,175
2017-06-02,1.2613123984886939e-05,3.51349223656242e-05,108
2017-06-05,4.130448138366671e-06,0.28769017071554215,80
2017-06-06,3.971923161617891e-06,0.39902256238463385,94
2017-06-07,9.733747381721254e-06,0.05305776413973743,77
2017-06-08,8.320054749886374e-08,0.9218974149330896,121
2017-06-09,1.4907082783368477e-08,0.9380185382354949,75
2017-06-12,2.824327763757633e-06,0.49816214349630794,79
2017-06-13,2.202252110464068e-06,0.5397279567991595,91
2017-06-14,6.482042609080894e-08,0.898943949932058,128
2017-06-15,1.519730078819218e-05,0.0005756614028626992,103
2017-06-16,1.8683535095751064e-06,0.19459059407007484,135
2017-06-20,2.0926389251531035e-06,0.313914102825415,153
2017-06-21,1.066645329584569e-05,4.780528743654485e-07,78
2017-06-22,5.811721357084002e-06,0.22644780593834268,101
2017-06-23,7.219415508429231e-07,0.8943911622431341,143
2017-06-27,1.8044917354942072e-05,0.005986567734532797,68
2017-06-28,6.704872711792015e-06,0.30974467560517327,58
2017-06-29,4.95040683117144e-06,0.040647764920622116,211
2017-06-30,-5.631908398915904e-06,0.02693803374558721,274
2017-07-04,1.076206933289604e-05,0.5229799748509011,24
2017-07-05,1.1099298782060752e-07,0.8650040153749858,207
2017-07-06,4.759921877337356e-06,0.08831330849249187,140
2017-07-07,1.1097776796053596e-06,0.7266259821136318,114
2017-07-10,2.1464273504988876e-05,0.14841633212124597,82
2017-07-11,8.719091296458296e-06,0.13418693266478146,148
2017-07-12,2.4087013511286377e-05,0.002235544241577336,168
2017-07-13,1.741480468780334e-05,0.0002798692772006023,166
2017-07-14,3.079247757933788e-06,0.0958901863323098,109
2017-07-17,1.5140924622094134e-06,0.5840537779755528,100
2017-07-18,4.287085125000015e-06,0.3559286364722628,101
2017-07-19,1.0985256031625481e-06,0.6711045404557741,104
2017-07-21,3.0492385196754936e-06,0.6040055407064395,75
2017-07-24,-2.1457210911039136e-06,0.640061780463836,73
2017-07-25,7.679100475407136e-06,0.0011461729696881078,139
