dia,coef_regresion,p_value,trades
2017-03-03,1.8834582448377308e-07,0.7938779184735,176
2017-03-06,7.987429599091116e-06,0.07632925034799116,277
2017-03-07,1.5995487343546053e-06,0.28318736356732793,243
2017-03-08,4.147077172613922e-06,0.031372540969826446,377
2017-03-09,1.2806082867861508e-05,9.602214960295976e-08,289
2017-03-10,-1.832659401070387e-06,0.6642734552809431,204
2017-03-13,1.698178730077934e-05,0.00012497889154509535,200
2017-03-14,5.366669969015393e-06,0.05462332713802507,295
2017-03-15,8.69219013185007e-06,0.000647992906835689,306
2017-03-16,3.62940586534193e-06,0.11683700904916129,304
2017-03-17,1.0933414602069016e-06,0.5304435085523447,282
2017-03-21,9.873301064881563e-07,0.569927201412211,277
2017-03-22,5.767092757203456e-06,0.0024561115895553884,371
2017-03-23,-2.024845914981518e-06,0.5257097417837244,247
2017-03-24,8.704020584536883e-06,0.1249582264901472,181
2017-03-27,2.407825672012556e-07,0.8017087190519051,249
2017-03-28,5.67683901530528e-06,0.017736525894472395,240
2017-03-29,5.477778202325286e-06,0.05770425042270275,352
2017-03-30,1.0295861692752517e-05,8.040420482611839e-05,339
2017-03-31,-3.6593358231126366e-06,0.0654165165855059,148
2017-04-03,-1.3939216889244164e-06,0.5945882498605177,215
2017-04-04,6.173596250796737e-06,0.00025840869768361933,248
2017-04-05,1.3915884448059533e-06,0.09959882581173032,507
2017-04-06,1.102156402613597e-06,0.2770673052386763,350
2017-04-07,7.960987568408891e-06,0.00014700375704738408,493
2017-04-10,7.372395898484518e-06,0.011608510350758112,312
2017-04-11,2.4764444085580743e-06,0.10335609519928811,441
2017-04-12,7.982842857277774e-06,0.05730296261351466,297
2017-04-17,1.031181759666915e-05,3.777213616937882e-05,322
2017-04-18,1.0860127161249545e-06,0.5873934605029503,255
2017-04-19,2.0383863523019531e-07,0.7681426150831503,803
2017-04-20,7.596934189128929e-07,0.2503928071168261,376
2017-04-21,6.294470312899074e-07,0.3878633396828224,330
2017-04-24,-5.786081634977804e-08,0.8853289561608556,212
2017-04-25,-8.402435722616821e-07,0.10133776872147454,318
2017-04-26,4.919543190120584e-06,0.0009132223738862905,353
2017-04-27,4.847373066240671e-06,0.0017496991539726332,605
2017-04-28,4.960279448850653e-06,5.746633360688545e-17,264
2017-05-02,3.5189497420341804e-06,0.0022503324304559264,842
2017-05-03,2.0634448154787194e-06,0.07986177707747595,423
2017-05-04,9.863098093383044e-07,0.1478854019844835,371
2017-05-05,2.615295703300048e-06,0.0009824779173222852,417
2017-05-08,5.840895726575123e-06,0.00014754255757420002,497
2017-05-09,1.3363098231399148e-06,0.2935712073778248,354
2017-05-10,1.5605808987697311e-06,0.08220697714972118,532
2017-05-11,2.2945538341632948e-07,0.6350168711146402,437
2017-05-12,2.8775481772459086e-06,0.0005601684172423712,1222
2017-05-15,3.948864313445823e-06,0.02900553859144375,587
2017-05-16,1.847972927496354e-06,0.29721694605726096,486
2017-05-17,2.0393681558342717e-06,0.030264745707831383,590
2017-05-18,4.045503811342759e-06,5.122957649689412e-05,477
2017-05-19,5.372832618202957e-06,9.481765685352087e-05,277
2017-05-22,3.725974074401211e-06,0.049715371616894474,384
2017-05-23,3.016363487854286e-06,0.1304737559763966,315
2017-05-24,2.27762770142877e-06,0.04478587211435203,401
2017-05-25,9.61211873375733e-06,2.9600859883770393e-05,462
2017-05-26,2.3485004559949047e-06,0.30833866290067197,329
2017-05-30,4.799914091676524e-06,0.16878158742044433,324
2017-05-31,-5.340023532574747e-07,7.313141117946111e-06,753
2017-06-01,1.2186774000900627e-06,0.2626720051813808,439
2017-06-02,7.51515773299811e-07,0.5473539897337535,450
2017-06-05,7.406998724763549e-06,8.006376334524102e-05,532
2017-06-06,5.306027978473889e-06,0.0008068777639159717,529
2017-06-07,9.829621988746804e-07,0.6244209602784739,369
2017-06-08,4.317067028177745e-06,0.019983062009648455,446
2017-06-09,5.72418557538032e-06,0.06381940973358674,321
2017-06-12,4.877880875557852e-07,0.9067188204625889,331
2017-06-13,2.4701571638767962e-06,0.34483943274357753,297
2017-06-14,4.046810122975638e-06,0.022036861311024412,495
2017-06-15,9.739151024753878e-06,0.04347286064405521,256
2017-06-16,1.0585569382123389e-05,0.0015417539547608722,331
2017-06-20,5.1834609150134155e-06,0.0016623187403885283,559
2017-06-21,8.957107875897677e-06,2.3555437981589538e-06,554
2017-06-22,5.884727140166931e-06,0.19033382081928552,298
2017-06-23,6.2287800589235715e-06,0.0004179594602713846,270
2017-06-27,4.1000355287765114e-07,0.8809923902008683,331
2017-06-28,1.9490665150362215e-06,0.10604003686363977,403
2017-06-29,5.780043106761615e-06,0.014186818611666287,349
2017-06-30,3.2625500889993923e-06,2.107978121963375e-06,385
2017-07-04,1.6227686185164867e-05,3.430215510350776e-07,289
2017-07-05,4.7789403760996255e-06,0.0513095579447705,388
2017-07-06,2.7686460295478804e-06,0.09099769712998859,314
2017-07-07,5.815200373406853e-06,0.09246635707675646,289
2017-07-10,3.2759991863746506e-06,0.5581074788609574,189
2017-07-11,6.437782745561794e-06,0.015817531325568464,396
2017-07-12,4.1430566652077e-06,0.012374593541063614,641
2017-07-13,2.7228626805237424e-06,0.07986807512173434,489
2017-07-14,1.762518401903094e-05,3.950349415034415e-06,416
2017-07-17,4.195436565631661e-06,0.223328727019512,275
2017-07-18,3.376883989173131e-06,0.27654130263076565,295
2017-07-19,1.144931427417493e-05,0.0003860819506671804,409
2017-07-21,5.995815136881202e-07,0.7877665174841612,286
2017-07-24,7.2513363685811435e-06,0.07078959337460075,299
